Designator,Mid X,Mid Y,Rotation,Layer
C1,121.086,-81.4575,90.0,top
C10,153.5215,-73.66,0.0,top
C11,153.289,-80.391,0.0,top
C12,153.543,-71.628,0.0,top
C13,153.289,-82.423,0.0,top
C2,123.288,-81.4575,90.0,top
C3,125.404,-81.4575,90.0,top
C4,130.484,-81.3305,90.0,top
C5,128.325,-81.3305,90.0,top
C6,132.643,-81.3305,90.0,top
C7,153.5215,-69.596,0.0,top
C8,148.082,-85.725,180.0,top
C9,153.3105,-78.359,0.0,top
CON1,131.191,-62.103,180.0,top
J1,106.735,-87.884,90.0,top
J2,167.005,-87.884,270.0,top
RF1,124.134,-85.543,90.0,top
RF2,135.183,-86.813,90.0,top
RF3,148.082,-87.884,0.0,top
RG1,121.213,-85.67,0.0,top
RG2,135.31,-90.861,90.0,top
RG3,140.208,-86.233,0.0,top
RG5,144.653,-88.916,90.0,top
RS2,138.303,-79.105,270.0,top
RZ1,118.070848,-89.099,90.0,top
RZ2,120.737848,-89.099,90.0,top
U1,129.500848,-86.559,0.0,top
U2,145.415,-73.914,0.0,top
